folder_name,path,count
Lisa Shearin,D:\Novels Library\Final_all_books\Lisa Shearin,19
Mandy M. Roth,D:\Novels Library\Final_all_books\Mandy M. Roth,19
R. A. Salvatore,D:\Novels Library\Final_all_books\R. A. Salvatore,19
Rebecca York,D:\Novels Library\Final_all_books\Rebecca York,19
Tamara Rose Blodgett,D:\Novels Library\Final_all_books\Tamara Rose Blodgett,19
Willow Rose,D:\Novels Library\Final_all_books\Willow Rose,19
Aidy Award,D:\Novels Library\Final_all_books\Aidy Award,18
C. S. Johnson,D:\Novels Library\Final_all_books\C. S. Johnson,18
Cara Colter,D:\Novels Library\Final_all_books\Cara Colter,18
Chloe Garner,D:\Novels Library\Final_all_books\Chloe Garner,18
Danielle Garrett,D:\Novels Library\Final_all_books\Danielle Garrett,18
Elizabeth Lane,D:\Novels Library\Final_all_books\Elizabeth Lane,18
Emma Hamm,D:\Novels Library\Final_all_books\Emma Hamm,18
Holly Hook,D:\Novels Library\Final_all_books\Holly Hook,18
Joan Holub,D:\Novels Library\Final_all_books\Joan Holub,18
Kathryn Ross,D:\Novels Library\Final_all_books\Kathryn Ross,18
L. E. Modesitt Jr_,D:\Novels Library\Final_all_books\L. E. Modesitt Jr_,18
Lori Handeland,D:\Novels Library\Final_all_books\Lori Handeland,18
Marie Ferrarella,D:\Novels Library\Final_all_books\Marie Ferrarella,18
Meg Cabot,D:\Novels Library\Final_all_books\Meg Cabot,18
Michael James Ploof,D:\Novels Library\Final_all_books\Michael James Ploof,18
Mometrix,D:\Novels Library\Final_all_books\Mometrix,18
R. A. Steffan,D:\Novels Library\Final_all_books\R. A. Steffan,18
R. L. King,D:\Novels Library\Final_all_books\R. L. King,18
Stephanie Hudson,D:\Novels Library\Final_all_books\Stephanie Hudson,18
Tamora Pierce,D:\Novels Library\Final_all_books\Tamora Pierce,18
Thea Atkinson,D:\Novels Library\Final_all_books\Thea Atkinson,18
Wilbur Smith,D:\Novels Library\Final_all_books\Wilbur Smith,18
Bianca D'Arc,D:\Novels Library\Final_all_books\Bianca D'Arc,17
Carrie Summers,D:\Novels Library\Final_all_books\Carrie Summers,17
Christopher Nuttall,D:\Novels Library\Final_all_books\Christopher Nuttall,17
Colleen Thompson,D:\Novels Library\Final_all_books\Colleen Thompson,17
Demelza Carlton,D:\Novels Library\Final_all_books\Demelza Carlton,17
Diana Xarissa,D:\Novels Library\Final_all_books\Diana Xarissa,17
Elisabeth Hobbes,D:\Novels Library\Final_all_books\Elisabeth Hobbes,17
Emma L. Adams,D:\Novels Library\Final_all_books\Emma L. Adams,17
Eve Langlais,D:\Novels Library\Final_all_books\Eve Langlais,17
Helen Allan,D:\Novels Library\Final_all_books\Helen Allan,17
Helena Rookwood,D:\Novels Library\Final_all_books\Helena Rookwood,17
Jackie Braun,D:\Novels Library\Final_all_books\Jackie Braun,17
Jessica Gadziala,D:\Novels Library\Final_all_books\Jessica Gadziala,17
Lacey Carter Andersen,D:\Novels Library\Final_all_books\Lacey Carter Andersen,17
Laurelin Paige,D:\Novels Library\Final_all_books\Laurelin Paige,17
Lisa Childs,D:\Novels Library\Final_all_books\Lisa Childs,17
Mary Burchell,D:\Novels Library\Final_all_books\Mary Burchell,17
Meghan Ciana Doidge,D:\Novels Library\Final_all_books\Meghan Ciana Doidge,17
Mila Young,D:\Novels Library\Final_all_books\Mila Young,17
Pamela Palmer,D:\Novels Library\Final_all_books\Pamela Palmer,17
Robin D. Owens,D:\Novels Library\Final_all_books\Robin D. Owens,17
Shona Husk,D:\Novels Library\Final_all_books\Shona Husk,17
Sophie Stern,D:\Novels Library\Final_all_books\Sophie Stern,17
Stormie Omartian,D:\Novels Library\Final_all_books\Stormie Omartian,17
Susan Illene,D:\Novels Library\Final_all_books\Susan Illene,17
Tijan,D:\Novels Library\Final_all_books\Tijan,17
Tom Clancy,D:\Novels Library\Final_all_books\Tom Clancy,17
Zoe York,D:\Novels Library\Final_all_books\Zoe York,17
Carole Nelson Douglas,D:\Novels Library\Final_all_books\Carole Nelson Douglas,16
Dervla Murphy,D:\Novels Library\Final_all_books\Dervla Murphy,16
Elizabeth Gilbert,D:\Novels Library\Final_all_books\Elizabeth Gilbert,16
Jessica Gunn,D:\Novels Library\Final_all_books\Jessica Gunn,16
Jody Morse,D:\Novels Library\Final_all_books\Jody Morse,16
John Conroe,D:\Novels Library\Final_all_books\John Conroe,16
Julia Justiss,D:\Novels Library\Final_all_books\Julia Justiss,16
Julie Miller,D:\Novels Library\Final_all_books\Julie Miller,16
Kate Walker,D:\Novels Library\Final_all_books\Kate Walker,16
Kristen Banet,D:\Novels Library\Final_all_books\Kristen Banet,16
LJ Andrews,D:\Novels Library\Final_all_books\LJ Andrews,16
Michael G. Manning,D:\Novels Library\Final_all_books\Michael G. Manning,16
R. D. Brady,D:\Novels Library\Final_all_books\R. D. Brady,16
S.E. Smith,D:\Novels Library\Final_all_books\S.E. Smith,16
Sadie Carter,D:\Novels Library\Final_all_books\Sadie Carter,16
Sam Crescent,D:\Novels Library\Final_all_books\Sam Crescent,16
Shanna Swendson,D:\Novels Library\Final_all_books\Shanna Swendson,16
T. A. Barron,D:\Novels Library\Final_all_books\T. A. Barron,16
Tianna Xander,D:\Novels Library\Final_all_books\Tianna Xander,16
Vicki Lewis Thompson,D:\Novels Library\Final_all_books\Vicki Lewis Thompson,16
Ally Blake,D:\Novels Library\Final_all_books\Ally Blake,15
Anne Malcom,D:\Novels Library\Final_all_books\Anne Malcom,15
Caroline Lee,D:\Novels Library\Final_all_books\Caroline Lee,15
Celia Kyle,D:\Novels Library\Final_all_books\Celia Kyle,15
Chanda Hahn,D:\Novels Library\Final_all_books\Chanda Hahn,15
Charlene Sands,D:\Novels Library\Final_all_books\Charlene Sands,15
David Dalglish,D:\Novels Library\Final_all_books\David Dalglish,15
Deborah Simmons,D:\Novels Library\Final_all_books\Deborah Simmons,15
Delores Fossen,D:\Novels Library\Final_all_books\Delores Fossen,15
Dianne Drake,D:\Novels Library\Final_all_books\Dianne Drake,15
E. J. Stevens,D:\Novels Library\Final_all_books\E. J. Stevens,15
Erin Bedford,D:\Novels Library\Final_all_books\Erin Bedford,15
Heidi Rice,D:\Novels Library\Final_all_books\Heidi Rice,15
I. D. Johnson,D:\Novels Library\Final_all_books\I. D. Johnson,15
J. J. Thompson,D:\Novels Library\Final_all_books\J. J. Thompson,15
Jude Deveraux,D:\Novels Library\Final_all_books\Jude Deveraux,15
Julie Kagawa,D:\Novels Library\Final_all_books\Julie Kagawa,15
Kate Avery Ellison,D:\Novels Library\Final_all_books\Kate Avery Ellison,15
Kiersten White,D:\Novels Library\Final_all_books\Kiersten White,15
Layla Silver,D:\Novels Library\Final_all_books\Layla Silver,15
Laylah Roberts,D:\Novels Library\Final_all_books\Laylah Roberts,15
Lena Mae Hill,D:\Novels Library\Final_all_books\Lena Mae Hill,15
Lynne Marshall,D:\Novels Library\Final_all_books\Lynne Marshall,15
Marcy Jacks,D:\Novels Library\Final_all_books\Marcy Jacks,15
Margaret Mayo,D:\Novels Library\Final_all_books\Margaret Mayo,15
Marguerite Kaye,D:\Novels Library\Final_all_books\Marguerite Kaye,15
Maya Blake,D:\Novels Library\Final_all_books\Maya Blake,15
Melissa de la Cruz,D:\Novels Library\Final_all_books\Melissa de la Cruz,15
Michael J. Sullivan,D:\Novels Library\Final_all_books\Michael J. Sullivan,15
Michelle Sagara,D:\Novels Library\Final_all_books\Michelle Sagara,15
Miranda James,D:\Novels Library\Final_all_books\Miranda James,15
Norah Hess,D:\Novels Library\Final_all_books\Norah Hess,15
Patricia Briggs,D:\Novels Library\Final_all_books\Patricia Briggs,15
Rebecca Ethington,D:\Novels Library\Final_all_books\Rebecca Ethington,15
